zona;lugar
Albardon;CIC La Laja
Angaco;Union Vecinal Villa El Salvador
Calingasta;Union Vecinal Villa Calingasta
Barreal;Polideportivo Barreal
Capital;Polideportivo Escuela San Martin
Caucete;Salon San Isidro
Chimbas;Parque de Chimbas
Iglesia;Polideportivo Municipal de Rodeo
Jachal;Teatro del Bicentenario
9 de Julio;Centro de Jubilados
Pocito;Salon La Posta (Mendoza entre calles 10 y 11)
Rawson;Teatro Kummel
Rivadavia;Complejo Islas Malvinas, CUIM, Facultad de Ciencias Sociales. UNSJ
San Martin;Estadio Marta Orellana
Santa Lucia;Union Vecinal Santa Lucia Centro
Sarmiento;Centro Cultural
Ullum;CIC Ullum
Valle Fertil;Salon Cultural
25 de Mayo;CIC Santa Rosa
Zonda;Salon de Eventos del Centro de Jubilados
